Ticker,Name,Current Price,PE Ratio,EPS,PB Ratio,Debt to Equity,Dividend Yield,Market Cap,Sector
1155.KL,Malayan Banking Berhad,9.74,11.595238,0.84,1.2732025,,6.6,117669912576.0,Financial Services
1295.KL,Public Bank Berhad,4.38,11.837838,0.37,1.4852493,,4.87,85018869760.0,Financial Services
1961.KL,IOI Corporation Berhad,3.74,16.26087,0.23,1.9469026,25.189,2.67,23201839104.0,Consumer Defensive
1023.KL,CIMB Group Holdings Berhad,6.77,9.402778,0.72,1.0573169,,5.89,72799166464.0,Financial Services
5246.KL,Westports Holdings Berhad,5.58,20.666666,0.27,5.1858735,80.118,4.02,19027798016.0,Industrials
5347.KL,Tenaga Nasional Berhad,14.06,16.16092,0.87,1.3663752,144.963,3.55,81957707776.0,Utilities
3182.KL,Genting Berhad,3.11,38.875,0.08,0.37415782,75.319,3.28,11975303168.0,Consumer Cyclical
4863.KL,Telekom Malaysia Berhad,6.8,13.076924,0.52,2.6656213,51.349,3.82,26096633856.0,Communication Services
2445.KL,Kuala Lumpur Kepong Berhad,20.82,36.526318,0.57,1.6331973,82.062,2.9,23186401280.0,Industrials
8677.KL,,,,,,,,,
5099.KL,Capital A Berhad,0.84,,-0.21,-0.45331892,,,3644088064.0,Industrials
3188.KL,,,,,,,,,
6888.KL,Axiata Group Berhad,2.33,21.181818,0.11,1.0355555,122.545,4.33,21402144768.0,Communication Services
2488.KL,Alliance Bank Malaysia Berhad,4.41,9.382978,0.47,0.8903694,,4.48,7006519808.0,Financial Services
5681.KL,PETRONAS Dagangan Berhad,21.56,18.586206,1.16,3.681694,3.678,3.72,21418868736.0,Energy
6947.KL,Celcomdigi Berhad,3.9,32.5,0.12,2.8550513,82.727,3.77,45752852480.0,Communication Services
1066.KL,RHB Bank Berhad,6.42,8.916666,0.72,0.8687416,,6.83,28003461120.0,Financial Services
5183.KL,PETRONAS Chemicals Group Berhad,3.5,50.0,0.07,0.71297616,14.252,1.72,28000000000.0,Basic Materials
3816.KL,MISC Berhad,7.75,31.0,0.25,0.9265901,44.281,4.74,34594062336.0,Industrials
4715.KL,Genting Malaysia Berhad,1.99,39.8,0.05,0.96228236,122.851,4.15,11278802944.0,Consumer Cyclical
